Perusahaan,Produk,Kalori,Kalori dari Lemak,Total Lemak,Lemak Jenuh (g),Lemak tak Jenuh (g),Kolestrol (mg),Sodium (mg),Karbohidrat (g),Serat (g),Gula (g),Protein (g),WW Poin
McDollops,Snack Size Fruit & Walnut Salad,210.0,70.0,8.0,1.5,0.0,5.0,60.0,31.0,2.0,25.0,4.0,232.5
McDollops,Salad Dressings,287.3565754633716,117.55555555555556,11.682576459684894,4.066790352504638,0.14087117701575533,40.64789991063449,427.7226148409894,38.94619666048237,1.4548872180451127,24.067978533094813,9.43466172381835,310.27054794520546
McDollops,Newman’s Own® Creamy Southwest Dressing,100.0,50.0,6.0,1.0,0.0,20.0,340.0,11.0,0.0,3.0,1.0,103.0
McDollops,Newman’s Own® Creamy Caesar Dressing,190.0,170.0,18.0,3.5,0.0,20.0,500.0,4.0,0.0,2.0,2.0,193.5
McDollops,Newman’s Own® Low Fat Balsamic Vinaigrette,40.0,25.0,3.0,0.0,0.0,0.0,730.0,4.0,0.0,3.0,0.0,43.0
McDollops,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.0,20.0,2.5,0.0,0.0,0.0,730.0,8.0,0.0,1.0,1.0,60.0
McDollops,Newman’s Own® Ranch Dressing,170.0,130.0,15.0,2.5,0.0,20.0,530.0,9.0,0.0,4.0,1.0,175.5
McDollops,Egg McMuffin®,300.0,110.0,12.0,5.0,0.0,260.0,820.0,30.0,2.0,3.0,18.0,290.0
McDollops,Sausage McMuffin®,370.0,200.0,22.0,8.0,0.0,45.0,850.0,29.0,2.0,2.0,14.0,366.0
McDollops,Sausage McMuffin® with Egg,450.0,250.0,27.0,10.0,0.0,285.0,920.0,30.0,2.0,2.0,21.0,441.0
McDollops,English Muffin,160.0,30.0,3.0,0.5,0.0,0.0,280.0,27.0,2.0,2.0,5.0,157.5
McDollops,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,210.0,23.0,12.0,0.0,235.0,1160.0,37.0,2.0,3.0,15.0,420.0
McDollops,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,240.0,27.0,12.0,0.0,235.0,1270.0,43.0,3.0,4.0,15.0,481.0
McDollops,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,290.0,33.0,14.0,0.0,250.0,1170.0,36.0,2.0,2.0,18.0,508.0
McDollops,Sausage Biscuit with Egg (Large Size Biscuit),570.0,330.0,37.0,15.0,0.0,250.0,1280.0,42.0,3.0,3.0,18.0,570.0
McDollops,Sausage Biscuit (Regular Size Biscuit),430.0,240.0,27.0,12.0,0.0,30.0,1080.0,34.0,2.0,2.0,11.0,433.0
McDollops,Sausage Biscuit (Large Size Biscuit),480.0,280.0,31.0,13.0,0.0,30.0,1190.0,39.0,3.0,3.0,11.0,485.0
McDollops,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,180.0,20.0,8.0,0.0,30.0,1180.0,41.0,2.0,3.0,17.0,404.0
McDollops,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,220.0,24.0,9.0,0.0,30.0,1290.0,46.0,3.0,4.0,17.0,466.0
McDollops,"Steak, Egg & Cheese Bagel",660.0,300.0,33.0,12.0,1.0,300.0,1580.0,56.0,3.0,7.0,33.0,646.0
McDollops,"Bacon, Egg & Cheese McGriddles®",420.0,160.0,18.0,8.0,0.0,240.0,1110.0,48.0,2.0,15.0,15.0,428.0
McDollops,"Sausage, Egg & Cheese McGriddles®",560.0,290.0,32.0,12.0,0.0,265.0,1360.0,48.0,2.0,15.0,20.0,567.0
McDollops,Sausage McGriddles®,420.0,200.0,22.0,8.0,0.0,35.0,1030.0,44.0,2.0,15.0,11.0,432.0
McDollops,Big Breakfast® (Regular Size Biscuit),740.0,430.0,48.0,17.0,0.0,555.0,1560.0,51.0,3.0,3.0,28.0,732.0
